,Date(UTC),ETHPerDay,NetworkDifficulty[TH/s],ETHPriceUSD,TotalBlocks,PowerCoast,Inflação,Multiple_GPUPrice,R$_DollarPrice,ETHPriceBRL,R$_GPUPrice,ETH/dia,USD_Revenue,USD_Coast,USD_Profit/day,USD_Profit/month,Indicador,Multiple_Difficulty/LastDifficulty,USD_GPUPrice,Pays_itself/months,Date
35,2015-09-03,17380.9375,8.355,1.26,3383.0,0.600839,0.6751,,3.7753,4.756878,234.5280841529906,2.1039415686522167,10.008193361207221,2.0188190400000003,7.989374321207221,239.6812296362166,0.20171663027866238,0.0008427302037833594,62.12170798426366,0.9785000039800891,2015-09-03
36,2015-09-04,23081.875,6.47,1.27,4443.0,0.600839,0.6751,,3.798,4.82346,234.5280841529906,2.7472578263360634,13.251288235018949,2.0188190400000003,11.232469195018949,336.97407585056845,0.1523488889680101,0.0006525989728878917,61.75041710189326,0.6959825724308607,2015-09-04
37,2015-09-05,25629.0625,6.235,1.37,4921.0,0.600839,0.6751,,3.798,5.20326,234.5280841529906,2.857931568990532,14.870561015665675,2.0188190400000003,12.851741975665675,385.55225926997025,0.1357594402708302,0.0006288956098850085,61.75041710189326,0.6082912977790905,2015-09-05
38,2015-09-06,26168.28125,6.305,1.3,4978.0,0.600839,0.6751,,3.798,4.9374,234.5280841529906,2.852621453507248,14.084533164546686,2.0188190400000003,12.065714124546686,361.9714237364006,0.14333588599739552,0.0006359561860986332,61.75041710189326,0.6479187824610751,2015-09-06
39,2015-09-07,25460.46875,6.339,1.24,4834.0,0.600839,0.6751,,3.798,4.70952,234.5280841529906,2.8428105972033952,13.388273363741336,2.0188190400000003,11.369454323741335,341.08362971224005,0.15079009706116756,0.0006393856088309653,61.75041710189326,0.6875970105948899,2015-09-07
40,2015-09-08,25892.5,6.077,1.23,4923.0,0.600839,0.6751,,3.8021,4.676583,234.5280841529906,2.9611734116618567,13.84817323702984,2.0188190400000003,11.82935419702984,354.8806259108952,0.1457823357236537,0.0006129588807171124,61.68382845085364,0.660864716271879,2015-09-08
41,2015-09-09,26427.65625,6.202,1.21,5035.0,0.600839,0.6751,,3.7864,4.581544,234.5280841529906,2.8955851509603683,13.266250774871569,2.0188190400000003,11.247431734871569,337.4229520461471,0.15217705998924513,0.0006255670525271567,61.93959543444713,0.6950567017768127,2015-09-09
42,2015-09-10,26444.21875,6.29,1.16,5003.0,0.600839,0.6751,,3.8691,4.488156,234.5280841529906,2.875136851116675,12.90406270916041,2.0188190400000003,10.88524366916041,326.5573100748123,0.1564483283676907,0.0006344432054814279,60.615668799718435,0.718183537521367,2015-09-10
43,2015-09-11,27239.84375,6.562,0.98,5141.0,0.600839,0.6751,,3.8692,3.7918160000000003,234.5280841529906,2.7626744459103034,10.475553166793825,2.0188190400000003,8.456734126793824,253.70202380381474,0.19271717759014395,0.0006618785873400843,60.61410217951788,0.9244233870769153,2015-09-11
44,2015-09-12,26401.09375,6.833,1.04,5026.0,0.600839,0.6751,,3.8692,4.023968,234.5280841529906,2.6302494757394728,10.584039722392415,2.0188190400000003,8.565220682392415,256.95662047177245,0.19074182381693355,0.0006892131038242602,60.61410217951788,0.9127146976108145,2015-09-12
45,2015-09-13,26171.40625,7.022,0.94,4971.0,0.600839,0.6751,,3.8692,3.637048,234.5280841529906,2.565260057751077,9.32997396252344,2.0188190400000003,7.311154922523439,219.33464767570317,0.21637992218511815,0.0007082766596010473,60.61410217951788,1.069270571878601,2015-09-13
46,2015-09-14,25588.125,6.626,0.87,4851.0,0.600839,0.6751,,3.8647,3.362289,234.5280841529906,2.7237339608345605,9.157980735440473,2.0188190400000003,7.139161695440473,214.17485086321417,0.220443687131528,0.000668333971306827,60.684680351124435,1.0950309208001985,2015-09-14
47,2015-09-15,25615.3125,6.419,0.94,4842.0,0.600839,0.6751,,3.8593,3.627742,234.5280841529906,2.819787793093343,10.22946260809203,2.0188190400000003,8.21064356809203,246.3193070427609,0.19735338182897416,0.0006474548387893935,60.76959141631659,0.95213033427492,2015-09-15
48,2015-09-16,26318.125,6.179,0.9,4956.0,0.600839,0.6751,,3.8361,3.45249,234.5280841529906,2.94045393931723,10.151887820953343,2.0188190400000003,8.133068780953343,243.9920634286003,0.19886144090690092,0.0006232471489141086,61.13711429654873,0.9612119380334716,2015-09-16
49,2015-09-17,25435.625,6.04,0.89,4808.0,0.600839,0.6751,,3.8915,3.463435,234.5280841529906,2.996746068913841,10.37903522118861,2.0188190400000003,8.36021618118861,250.80648543565832,0.1945093158445612,0.0006092268618613394,60.26675681690623,0.9350957721272971,2015-09-17
50,2015-09-18,25901.71875,5.653,0.85,4889.0,0.600839,0.6751,,3.9015,3.316275,234.5280841529906,3.2065534903153563,10.633813176095558,2.0188190400000003,8.614994136095557,258.4498240828667,0.18984902278876173,0.0005701919619374423,60.11228608304258,0.9074414540046036,2015-09-18
51,2015-09-19,27179.6875,5.548,0.89,5078.0,0.600839,0.6751,,3.9015,3.472335,234.5280841529906,3.3008382144103536,11.461616061234576,2.0188190400000003,9.442797021234576,283.28391063703725,0.1761373814315802,0.0005596010976170051,60.11228608304258,0.8278905908408051,2015-09-19
